Station,Lat,Lon
OWYHEE DAM,43.6501,-117.2466
KUPARUK,70.3289,-149.6114
GILBERT 3.8 NW,33.3741,-111.8053
BUTTONWILLOW,35.4028,-119.47
JORNADA EXP RANGE,32.6161,-106.7404
LAVEEN 3.0 SE,33.3364,-112.1497
EAST MESA,33.4191,-111.6444
GREYBULL SOUTH BIG HORN COUNTY AP,44.51694,-108.08222
JOSHUA TREE 0.0 ESE,34.1269,-116.3175
INYOKERN 9.4 WSW,35.6345,-117.9782
LEONARD CREEK RANCH - DENIO 33S,41.5167,-118.7193
BAKERSFIELD 6.1 WSW,35.3311,-119.1078
BAKERSFIELD 5 NW,35.4186,-119.0508
MESA 4.3 SW,33.368,-111.8622
BAKERSFIELD AP,35.4344,-119.0542
TORREON NAVAJO MISSION,35.7991,-107.1813
MESA 13.6 ESE,33.3476,-111.5999
YUCCA VALLEY,34.1294,-116.3879
HETTINGER MUNICIPAL AP,46.01389,-102.65472
CALLAO,39.8997,-113.7128
WINSLOW MUNICIPAL AP,35.0281,-110.7208
COLVILLE VILLAGE,70.4322,-150.40939
MESA 1.6 ENE,33.4305,-111.7956
PHOENIX DEER VALLEY MUNICIPAL AP,33.68833,-112.08167
KETTLEMAN CITY,36.0067,-119.96
SOCORRO 20 N,34.3557,-106.8859
OVERTON,36.5508,-114.458
SAINT JOHNS,34.5172,-109.4028
EVANSTON UINTA CO BURNS FIELD,41.27306,-111.03056
FARMINGTON FOUR CORNERS REGIONAL AP,36.74361,-108.22917
DEMING 0.6 SSW,32.2541,-107.7536
ALBUQUERQUE 4.6 E,35.1278,-106.5437
RICHLAND,46.3119,-119.2633
CASA GRANDE 5.7 SE,32.809,-111.684
GLENDALE 3.5 S,33.5339,-112.1957
NEWCASTLE 33 WSW,43.644,-104.8411
DEMING 16 S,32.0336,-107.7706
ROCK SPRINGS AP,41.59466,-109.05296
GILBERT 3.9 SE,33.3123,-111.7307
CHALLIS AIRPORT,44.5228,-114.215
DELL CITY 5SSW,31.877,-105.237
TEMPE ASU,33.42583,-111.92166
ALAMOGORDO 2.0 N,32.9125,-105.9511
LAKE HAVASU 3.5 NE,34.521,-114.2802
EAGLE RIVER 5 SE,61.2968,-149.4399
MONTROSE REGIONAL AP,38.50583,-107.89889
LAS CRUCES 2.0 WSW,32.3272,-106.7892
ESPANOLA 1.1 SE,35.9947,-106.0535
LAS CRUCES 5.4 S,32.2582,-106.7643
BOLES ACRES 3.1 SSE,32.7682,-105.9648
LOS LUNAS 3 SSW,34.7675,-106.7611
ALBUQUERQUE 7.7 SW,35.0248,-106.7007
CHINO AP,33.97528,-117.63611
TULAROSA,33.0719,-106.0412
MORONGO VALLEY NORTH,34.0864,-116.5622
CAPITOL REEF NATIONAL PARK,38.2917,-111.2622
MURPHY 10 W,43.2044,-116.7505
MESQUITE 1.5 S,36.7808,-114.1048
DEMING 15.5 WSW,32.1811,-107.9976
ALBUQUERQUE 5.0 E,35.1224,-106.5355
CATHEDRAL GORGE STATE PARK,37.8044,-114.4069
PETRIFIED FOREST NP,34.7994,-109.885
TEEC NOS POS,36.9233,-109.09
LAS CRUCES 4.3 NNW,32.3901,-106.7913
ROSWELL 17.4 N,33.6215,-104.5022
POWELL 0.9 W,44.7584,-108.7769
ALAMOSA 1E,37.4702,-105.8569
SANTA FE COUNTY MUNICIPAL AP,35.61694,-106.08889
MOAB 1.3 NW,38.5864,-109.5629
CENTER 1.2 NE,37.7636,-106.0933
ALAMOGORDO 8.8 N,33.0111,-105.9808
ALAMOGORDO 3.4 N,32.9335,-105.9511
DEMING MUNICIPAL AP,32.26222,-107.72056
BURNS MUNICIPAL AIRPORT,43.595,-118.9564
MCNARY DAM NO. 2,45.9306,-119.2955
MADRAS,44.6166,-121.001
MEXICAN HAT,37.1497,-109.8675
CLARK 3NE,44.93651,-109.13736
PHOENIX 6.7 WSW,33.4094,-112.181
BOSQUE DEL APACHE,33.8044,-106.8908
FARMINGTON AG SCIENCE CNT,36.6897,-108.3086
ST JOHNS INDUSTRIAL AIR PARK,34.51833,-109.37917
RYE PATCH DAM,40.4661,-118.3047
BLUFF,37.2824,-109.5575
PHOENIX 8.8 NNW,33.5511,-112.1466
BELEN 5.1 SSE,34.5922,-106.7421
TOK SCHOOL,63.33306,-142.95778
TOK,63.3337,-143.0372
MAY 2SSE,44.5663,-113.8952
MESILLA 2.3 E,32.2718,-106.7668
CORRALES 1.3 NNE,35.2521,-106.6097
ARCHES NP HQS,38.6163,-109.6191
JOSHUA TREE 2.0 S,34.0973,-116.3178
MESA 13.4 E,33.4311,-111.5885
NORCO 2.3 SE,33.9059,-117.5178
NORCO 1.2 S,33.908,-117.548
RAWLINS AP,41.8,-107.2
LITCHFIELD PARK,33.4991,-112.363
CANYONLANDS-THE NEEDLES,38.1678,-109.7597
PRUDHOE BAY,70.27,-148.57001
COALINGA,36.1356,-120.3606
WATERDALE,40.4256,-105.2103
SOCORRO 2.3 NNE,34.0867,-106.8925
MARCH AFB,33.9,-117.25
LOVELL,44.83772,-108.404
ONYX 2.8 ENE,35.7022,-118.1739
BINGHAM 2 NE,33.9113,-106.3494
KANEOHE BAY MCAS,21.45045,-157.76794
CASTLE DALE,39.2077,-111.0125
FLORENCE 9.1 NW,33.108,-111.5072
VALENTINE 20 WNW,30.6685,-104.821
SHIRLEY BASIN,42.3703,-106.1049
HERMISTON MUNICIPAL AP,45.82583,-119.26111
NEW CUYAMA FIRE STATION,34.9455,-119.6827
RENO 22.2 NNE,39.8294,-119.6445
PECOS MUNICIPAL AP,31.3825,-103.51083
KAUNAKAKAI 3.5 ESE,21.068,-156.963
APACHE JUNCTION 2.5 WSW,33.396,-111.5807
WELLINGTON 3 E,39.5447,-110.6861
STATE UNIVERSITY,32.2823,-106.7598
ECKERT 1.1 SW,38.8319,-107.967
FORT YUKON,66.57,-145.25
ALBUQUERQUE 3.4 SE,35.0829,-106.5814
HANFORD MUNICIPAL AP,36.31889,-119.62889
SUTCLIFFE,39.9508,-119.5986
CANYONLANDS-THE NECK,38.46,-109.8213
PERRIS 10.6 W,33.8209,-117.4051
ALBUQUERQUE 1.7 SSE,35.0944,-106.6123
HANFORD 1 S,36.3158,-119.637
DENIO,41.9897,-118.6335
LEMOORE 0.9 ESE,36.2932,-119.7718
MOAB,38.5744,-109.5458
ALBUQUERQUE 3.2 SSE,35.0718,-106.611
DEMING 7.8 S,32.15,-107.774
REDONDO BEACH 2.6 S,33.8192,-118.3771
LAS CRUCES 9.0 NE,32.4267,-106.646
PHOENIX 13.0 NNW,33.6195,-112.1381
BOISE NWS WFO,43.5685,-116.2101
LAS CRUCES 4.9 S,32.265,-106.7516
HANS FLAT RS,38.2553,-110.18
BUENA VISTA 2S,38.8246,-106.1276
BOISE AIR TERMINAL,43.5666,-116.2405
RIO RANCHO 1.5 ENE,35.2814,-106.6361
LAS CRUCES 4.3 SSE,32.2786,-106.727
ALBUQUERQUE 8.2 ENE,35.1534,-106.4871
FARMINGTON 3.4 WSW,36.7408,-108.2445
GREYBULL,44.48934,-108.05359
PLACITAS 3.8 ENE,35.3344,-106.4014
EL PASO 4.0 SSW,31.7936,-106.4566
GOODYEAR 3.3 WNW,33.4417,-112.4053
WENDOVER 1SSW,40.7294,-114.0382
CONVERSE COUNTY AIRPORT ASOS,42.79611,-105.38028
IMLAY,40.6564,-118.1631
MONTE VISTA 2W,37.581,-106.187
LAS CRUCES 6.1 SSE,32.2589,-106.7064
BEOWAWE 49S - U OF N RANCH,39.9004,-116.5876
KINGS RIVER VALLEY - OROVADA 26NW,41.7437,-118.2259
DUNCAN,32.748,-109.1213
WAVERLY 1W,37.4297,-106.0317
GRAND JUNCTION WALKER FIELD,39.1342,-108.54
GLENNS FERRY,42.9404,-115.323
RIO RANCHO 2.4 ENE,35.2839,-106.6208
TORREY 7 E,38.3028,-111.2935
REDONDO BEACH,33.8342,-118.3759
ROSWELL NORTH,33.4277,-104.5338
KOTZEBUE RALPH WEIN MEMORIAL AP,66.86667,-162.63333
BITTER CREEK 4 NE,41.58959,-108.50939
SCOTTSDALE 9.3 NE,33.5919,-111.7731
COLUMBUS 20.1 W,31.8401,-107.9828
WAIANAE 798,21.433,-158.18269
LAS CRUCES 9.3 NE,32.4245,-106.6356
ALBUQUERQUE 3.5 NNE,35.1654,-106.6064
KAUNAKAKAI MAU 536.5,21.0946,-157.0174
NAMPA 4.8 NNW,43.6453,-116.594
SCOTTSDALE MUNICIPAL AP,33.62278,-111.91056
SOUTH VALLEY 3.8 SSW,34.9619,-106.7084
SUNNYSIDE - LUND 31S,38.4231,-115.0226
OCEANSIDE MARINA,33.2097,-117.395
LUND,38.8677,-115.0166
RENO TAHOE INTL AP,39.48389,-119.77112
RICHLAND 0.8 SW,46.287,-119.305
GULKANA AIRPORT,62.1591,-145.4588
SANDBERG,34.7436,-118.7242
GRAND JUNCTION WFO,39.1198,-108.5247
KAUNAKAKAI 536,21.0868,-157.0226
BOISE 4.4 WNW,43.6231,-116.2963
LAS CRUCES 4.9 WNW,32.3522,-106.838
GABBS 1NE,38.8695,-117.9231
KARVAL 0.2 NE,38.7357,-103.5345
CORRALES,35.2488,-106.595
MINDEN,38.9547,-119.7758
KARVAL,38.7411,-103.5427
POJOAQUE 1.0 E,35.8943,-105.9912
ALBUQUERQUE 8.1 ENE,35.1511,-106.4876
ALAMOSA SAN LUIS VALLEY REGIONAL AP,37.4389,-105.8613
CAMPBELL IND. PARK 702.5,21.3131,-158.11411
LONG BEACH DAUGHERTY AP,33.8116,-118.1463
HIKO,37.5581,-115.2236
EL PASO 8.9 ESE,31.7791,-106.3112
PHOENIX 2.6 NNW,33.4761,-112.0797
FORT COLLINS 4 E,40.5756,-105.0236
EMBLEM,44.4972,-108.3905
HEMET,33.7381,-116.8939
BIG DELTA AP,63.9944,-145.72141
DEL NORTE 2.5 ENE,37.6907,-106.3084
EL PASO 3.3 NNE,31.8959,-106.4222
WITTMANN 1SE,33.7776,-112.523
SHAFTER 6E,35.4867,-119.1458
SUNNYSLOPE 1.6 W,34.0158,-117.4498
ALBUQUERQUE 1.9 SE,35.0972,-106.6016
REDMOND AIRPORT,44.2558,-121.1392
TORNILLO 2 SSE,31.40278,-106.05806
MONTROSE 2.9 ESE,38.4633,-107.8225
RICHLAND 3.4 SSW,46.2506,-119.3243
EL PASO INTL AP,31.81111,-106.37583
GRAND JUNCTION 6 ESE,39.0422,-108.4663
PELTON DAM,44.7275,-121.2505
WINNEMUCCA AIRPORT,40.9017,-117.808
KENNEWICK,46.2111,-119.1011
HATCH 7.2 ESE,32.6242,-107.0418
PASCO TRI CITIES AIRPORT,46.26667,-119.11667
MESA 1.5 SSW,33.3978,-111.7501
REDMOND 1.8 WSW,44.2516,-121.2066
DEMING 11.2 SSE,32.1132,-107.6731
DEMING 4.0 SE,32.2297,-107.6939
LAS CRUCES 6.3 NNE,32.4166,-106.7064
DEL NORTE 3ENE,37.69099,-106.30791
LEMITAR 0.7 NNE,34.1694,-106.9057
PARLIN 2.7 ESE,38.4843,-106.6742
MONTEVIEW,44.03033,-112.56663
RILEY 10 WSW,43.4711,-119.6917
PALOS VERDES ES FC43D,33.7997,-118.391
DUCHESNE,40.1703,-110.3978
CHISANA,62.07,-142.05
GLENNALLEN KCAM,62.1086,-145.5331
RIVERSIDE MUNICIPAL AP,33.95194,-117.43861
BOISE 6.1 SW,43.5695,-116.3248
GRANTS AIRPORT,35.1663,-107.8991
DILLON AIRPORT,45.2575,-112.5544
METEOR CRATER,35.0364,-111.0231
FORT COLLINS 4.9 N,40.6259,-105.0621
HATCH 6.9 ESE,32.6275,-107.0467
ZUNI,35.0705,-108.8388
WINNEMUCCA 3SSW,40.9386,-117.7513
PECOS 8W,31.3782,-103.633
TRUTH OR CONSEQUENCES 13.2 ENE,33.2203,-107.0435
ELEPHANT BUTTE 1.4 NE,33.2016,-107.2046
TWIN LAKES RESERVOIR,39.0935,-106.3513
CUBERO,35.0883,-107.5177
MINDEN 6 NE,39.0199,-119.7088
HAWTHORNE MUNICIPAL AP,33.92278,-118.33417
ELSINORE,33.6692,-117.3319
IDAHO FALLS 46 W,43.5316,-112.9422
DEMING 8.6 SE,32.169,-107.6479
GRAND JUNCTION 2.3 E,39.088,-108.5092
MOSES LAKE GRANT COUNTY AP,47.20778,-119.31917
PASO ROBLES MUNICIPAL AP,35.6697,-120.6283
RAIRDEN 2WSW,44.1786,-107.938
CANYON COUNTRY 2.6 E,34.4268,-118.4275
PORT ALLEN AP  926.10,21.89611,-159.60278
KARVAL 9.8 WSW,38.6779,-103.7049
TORRANCE AP,33.80167,-118.34195
LAS CRUCES 0.8 WNW,32.3393,-106.7695
WINKLER COUNTY AP,31.7801,-103.2018
ANTERO RESERVOIR,38.9933,-105.8919
CHANDLER 6.6 SE,33.2213,-111.7756
IMPERIAL BEACH 3.3 E,32.5738,-117.0625
FCL 5.6 E,40.5653,-104.9811
OROVADA 3 W,41.5684,-117.8388
TRUTH OR CONSEQUENCES MUNICIPAL AP,33.23667,-107.26806
SANTA FE 2,35.6194,-105.9753
ROOSEVELT RADIO,40.2878,-109.9586
MONTROSE 1.2 ESE,38.4729,-107.8574
ST GEORGE ISLAND AIRPORT,56.6,-169.565
MONTROSE 1.2 WSW,38.4709,-107.8911
ARTESIA MUNICIPAL AIRPORT,32.8525,-104.4675
AGUA FRIA 2.0 SW,35.6248,-106.0437
PANGUITCH,37.81555,-112.43882
MOXEE CITY 10 E,46.5053,-120.1677
JOHN DAY 35 WNW,44.556,-119.6459
RIVERSIDE FIRE STATION 3,33.9511,-117.388
FORT HANCOCK 8SSE,31.18528,-105.74139
SUNNYSIDE NO. 2,46.345,-120.0289
HAMER 4 NW,43.9663,-112.2641
WHITE ROCK 1.5 NNE,35.8216,-106.1963
SCOTTSDALE 17.7 N,33.754,-111.847
GUNNISON 3SW,38.5254,-106.9672
MOORMAN RANCH - RUTH 16WNW,39.3571,-115.3303
PUEBLO 5.0 S,38.2253,-104.6225
CABALLO DAM,32.8965,-107.3077
WORLAND MUNICIPAL AP,43.96583,-107.95083
SANTA ANA JOHN WAYNE AP,33.68,-117.86639
ELLICOTT 7S,38.74028,-104.39944
DEMING 19 ENE,32.2626,-107.397
ALBUQUERQUE VALLEY,35.0216,-106.6938
BASIN,44.37985,-108.03495
SANTA FE 7.7 WNW,35.7368,-106.0718
EPHRATA MUNICIPAL AP,47.3078,-119.5154
SCOTTSDALE 8.0 N,33.6159,-111.8861
YAKIMA AIRPORT,46.5683,-120.5428
GILBERT 9.1 SSE,33.2204,-111.749
OCEANSIDE 5.6NE,33.2539,-117.3127
COCHITI DAM,35.6413,-106.3322
OURAY 4NE,40.1345,-109.6435
SPARKS,39.5558,-119.7333
CIRCLEVILLE 0.7 W,38.1653,-112.2746
CHULA VISTA 3.1SE,32.6044,-117.0508
LAS CRUCES 5.7 NE,32.3976,-106.6896
MINDEN 6.0 NNE,39.0386,-119.7213
FMSP TOM MAYS,31.916,-106.5152
CAMARILLO AP,34.21667,-119.08333
CANYON DE CHELLY,36.1533,-109.5394
ALPINE 49.6 SSE,29.7038,-103.3365
SUNNYSIDE 1.2 W,46.3194,-120.0369
HAGERMAN 2 SW,42.8114,-114.9239
TUCUMCARI 9.7 ESE,35.1366,-103.5607
MORO,45.4825,-120.7236
FLOWING WELLS 3.1 W,32.2861,-111.0622
CHULA VISTA,32.64,-117.0858
FULLERTON MUNICIPAL AP,33.87194,-117.97889
FRAZIER PARK 10.7 WSW,34.746,-119.1103
MCGILL,39.4136,-114.7734
NORTHWAY AIRPORT,62.9617,-141.93781
HELENA AIRPORT ASOS,46.6056,-111.9636
WENATCHEE PANGBORN AP,47.3977,-120.2013
PERRIS 8.5 WNW,33.8262,-117.365
SCOTTSDALE 11.6 NNW,33.6468,-111.9872
LIMON 6.9 NE,39.3255,-103.5848
BARNES STATION,43.9456,-120.2169
ARLINGTON,45.7212,-120.2064
SAN DIEGO INTERNATIONAL AP,32.7336,-117.1831
LONGMONT 1.7 NNE,40.1945,-105.0905
CARLSBAD 3.4 N,32.4539,-104.2378
JACKPOT,41.9829,-114.6586
SAN JACINTO RS,33.7869,-116.9583
CORONA MUNICIPAL AIRPORT,33.89765,-117.60243
LOS ANGELES INTL AP,33.938,-118.3888
PHANTOM RANCH,36.1066,-112.0947
QUEMADO,34.3447,-108.4922
MOUNTAINAIR 16.7 SW,34.3406,-106.4392
NUTRIOSO,33.9,-109.16
SISTERS,44.2842,-121.5486
MADRAS 6.6 NNW,44.7203,-121.1736
ALCALDE 14 NE,36.2225,-105.8686
OCEANSIDE MUNICIPAL AP,33.21944,-117.34944
HEMET 4.1 ENE,33.7527,-116.9196
PENROSE 2.3 NNW,38.4622,-105.0277
WESTERN AG RESEARCH CENTER,46.32822,-114.08472
SPANISH SPRINGS,39.6372,-119.7094
TWIN BRIDGES,45.5472,-112.326
LAS CRUCES 2.9 SSE,32.2982,-106.7334
COCHETOPA CREEK,38.4461,-106.7611
BOISE 4.9 NNW,43.6684,-116.2465
SCOTTSDALE 2.3 NE,33.71,-111.8415
MORIARTY 1 NE,35.0128,-106.045
GRANITE CRK,63.94,-145.39999
CANON CITY 2.5 ENE,38.4523,-105.1967
LA GRANDE MUNICIPAL AP,45.28333,-118.0
KENNEWICK 5.3 W,46.2099,-119.2816
KREMMLING,40.0576,-106.368
OXNARD VENTURA COUNTY AP,34.20083,-119.20694
BLANDING,37.613,-109.4847
WENATCHEE,47.429,-120.31
APACHE JUNCTION 3.0 ESE,33.3916,-111.4928
ANAHEIM 4.9 ENE,33.8632,-117.7918
ONTARIO INTL AP,34.05611,-117.60028
CULVER CITY 1.6 SSW,33.986,-118.409
ANIMAS 3ESE,31.938,-108.7688
RIFLE 0.9 NE,39.5502,-107.768
OXNARD WFO,34.2066,-119.1375
LONGMONT 2.1 N,40.2001,-105.1087
SANTA ANA FIRE STATION,33.7442,-117.8667
KING CITY,36.2069,-121.1377
PARADOX 2N,38.3897,-108.9494
GRANTSVILLE 2W,40.602,-112.5076
WALDEN,40.7442,-106.2792
SELAH 2 NE,46.6722,-120.4994
DELTA JUNCTION 20SE,63.9647,-145.105
IRVINE RANCH,33.72,-117.723
RIFLE GARFIELD COUNTY AP,39.52778,-107.71972
BUTTE BERT MOONEY AP,45.9647,-112.5006
STEVENSVILLE,46.5137,-114.091
PANOCHE 2 W,36.6066,-120.8841
TIMNATH 4.1 NNE,40.5872,-104.963
WAMSUTTER,41.6716,-107.9786
APACHE JUNCTION 5.3 ESE,33.3629,-111.4698
TULELAKE,41.96,-121.4744
CANON CITY .84 SE,38.4298,-105.2314
SANTA MONICA MUNICIPAL AP,34.01583,-118.45139
ROSWELL INDUSTRIAL AIR PARK,33.3075,-104.5083
TOK #2,63.31556,-143.00583
TUCSON 15.5 NW,32.3707,-111.118
ENCINITAS 2.7N,33.0757,-117.292
TRUTH OR CONSEQUENCES,33.1353,-107.2316
UTAH LAKE LEHI,40.3603,-111.8972
DILLON 18 WSW,45.158,-113.0057
FLATIRON RESERVOIR,40.3692,-105.2353
WAIKOLOA BEACH RSRT 95.9,19.9095,-155.8752
GIBSON 2 NE,46.0398,-109.4954
CEDAR CITY AP,37.7086,-113.0944
PATHFINDER DAM,42.47165,-106.85268
PORTALES,34.1741,-103.3519
ELLENSBURG BOWERS FIELD,47.03389,-120.53028
CHEYENNE 5.4 NE,41.2037,-104.722
BOISE 5.3 NW,43.6695,-116.2653
UTAH TEST RANGE,41.0498,-112.9367
FCL 1.5 N,40.5963,-105.0908
HARDING 3 SE,45.36,-103.8116
LA JUNTA MUNICIPAL AP,38.0494,-103.5122
WEL 4.8 NW,40.7385,-105.0833
CHILLY BARTON FLAT,43.9772,-113.8288
NEPHI,39.71203,-111.83198
BURBANK GLENDALE PASADENA AP,34.20056,-118.3575
ALCALDE 5.9 NE,36.1478,-105.9875
RENO WFO,39.56833,-119.79556
MILLIKEN 1.3 WSW,40.3072,-104.8733
GREAT SAND DUNES NATIONAL PARK AND PRESERVE,37.7332,-105.5119
EUREKA AIRPORT,39.6013,-116.0055
SUMMIT,37.8008,-112.9328
GENOA,39.2774,-103.4958
BRIDGER 2 N,45.3261,-108.9091
CHULA VISTA 2.5SE,32.6168,-117.0519
NORTHDALE,37.8123,-109.0132
ELY AIRPORT,39.2952,-114.8466
KINGMAN AIRPORT,35.2577,-113.933
BRIGHTON 3 SE,39.9436,-104.8361
WOODLAND HILLS PIERCE COLLEGE,34.1819,-118.5744
LIMON HASS RANCH,39.0036,-103.7391
HOBBS,32.7263,-103.1313
LAS CRUCES 12.4 NW,32.4673,-106.901
TUCSON 10.7 NNW,32.3513,-111.0163
ELEPHANT BUTTE DAM,33.146,-107.1843
BATTLE MOUNTAIN 4SE,40.6118,-116.8917
TUCUMCARI 4 NE,35.2005,-103.6866
LAGES,40.0634,-114.6148
DRYDEN TERRELL COUNTY AP,30.04806,-102.21306
GLENDO RSVR (USBR),42.4689,-104.9658
ELY 25.0 SSW,38.9169,-115.0619
JOHN DAY,44.4233,-118.9594
WESTCLIFFE,38.1311,-105.4661
LAS CRUCES 2.9 NW,32.368,-106.7895
FONTENELLE DAM,41.986,-110.0611
SAN DIEGO 7.8 SW,32.7502,-117.2456
CAVERN CITY AP,32.33361,-104.25806
CONDON 1.8 NNE,45.2583,-120.1645
MASSADONA,40.2528,-108.6405
