"Site_ID","Site_Name","Town","Org_ID","Org_Name","SiteTypeID","WaterbodyID","Latitude_DD","Longitude_DD","Coordinate_Collection_Method","Datum","HUC8","HUC10","HUC12","WBID","WBID_Year","River_Mile_Headwaters","River_Mile_Mouth","River_Mile_Collection_Method","Site_Description","Site_Comment","Alternate_ID","Alternate_ID_Source"
"1NBSL","North Beacon St. Bridge-Left","Brighton/Watertown","CRWA","Charles River Watershed Association",1,4,"42.35896","-71.16211","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Left side of North Beacon Street bridge near bank","","",""
"1NBSR","North Beacon St. Bridge-Right","Brighton/Watertown","CRWA","Charles River Watershed Association",1,4,"42.35852","-71.16159","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Right side of North Beacon Street bridge near bank","","",""
"201S","Outlet Populatic Pd","Medway/Norfolk","CRWA","Charles River Watershed Association",1,4,"42.1345","-71.38","GPS- Unspecified","NAD83","01090001","0109000106","010900010602","","","","","","Outlet of Populatic Pond, above CRPCD outlet","","",""
"202W","CRPCD WWTF","Medway","CRWA","Charles River Watershed Association",2,4,"42.1428","-71.3839","GPS- Unspecified","NAD83","01090001","0109000106","010900010602","","","","","","CRPCD WWTF","","",""
"207S","Below CRPCD WWTF","Millis/Norfolk","CRWA","Charles River Watershed Association",1,4,"42.133","-71.3709","GPS- Unspecified","NAD83","01090001","0109000106","010900010602","","","","","","Below CRPCD WWTF, above Mill River","","",""
"213T1","Mill River at River Rd","Millis/Norfolk","CRWA","Charles River Watershed Association",1,12,"42.1317","-71.3629","GPS- Unspecified","NAD83","01090001","0109000106","010900010602","","","","","","Mill River at River Rd","","",""
"229S","Rt. 115, Baltimore St.","Millis","CRWA","Charles River Watershed Association",1,4,"42.1433","-71.3493","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010602","MA72-05_2002","","22.9 MI","57.1","","22.9 MI, RT 115 BRIDGE BALTIMORE ST., MILLIS","","",""
"267S","Dwight St. Bridge","Millis/Medfield","CRWA","Charles River Watershed Association",1,4,"42.1735","-71.3232","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010602","MA72-05_2002","","26.7 MI","53.3","","26.7 MI, DWIGHT ST, MILLIS","","",""
"269T","Causeway St./ Stop River","Medfield","CRWA","Charles River Watershed Association",1,20,"42.1585","-71.3029","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010604","MA72-10_2002","","26.9 MI","53.1","","","","",""
"290S","West St. / Dover Rd. ","Medfield/Millis","CRWA","Charles River Watershed Association",1,4,"42.1888","-71.3333","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010604","MA72-05_2002","","29.0 MI","51","","29.0 MI, OLD BRIDGE ST, MEDFIELD","","",""
"293W","Medfield WWTF","Medfield","CRWA","Charles River Watershed Association",2,4,"42.1912","-71.3344","GPS- Unspecified","NAD83","01090001","0109000106","010900010604","","","","","","Medfield WWTF","","",""
"294S","Below Medfield WW","Medfield/Millis","CRWA","Charles River Watershed Association",1,4,"42.1914","-71.3367","GPS- Unspecified","NAD83","01090001","0109000106","010900010604","","","","","","Below Medfield WW","","",""
"2LARZ","Larz Anderson Bridge-Center","Cambridge ","CRWA","Charles River Watershed Association",1,4,"42.3691","-71.1235","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Center of Larz Anderson Bridge","","",""
"2LARZL","Larz Anderson Bridge-Left","Cambridge ","CRWA","Charles River Watershed Association",1,4,"42.36923","-71.12318","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Left side of Larz Anderson Bridge near bank","","",""
"2LARZR","Larz Anderson Bridge-Right","Cambridge ","CRWA","Charles River Watershed Association",1,4,"42.36882","-71.12366","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Right side of Larz Anderson Bridge near bank","","",""
"307T3","Bogastow Bk at Ridge St","Millis","CRWA","Charles River Watershed Association",1,2,"42.1907","-71.3717","GPS- Unspecified","NAD83","01090001","0109000106","010900010603","","","","","","Bogastow Bk at Ridge St","","",""
"318S","Rt. 27 Bridge / S. Main St.","Medfield/Sherborn","CRWA","Charles River Watershed Association",1,4,"42.2099","-71.3517","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010604","MA72-05_2002","","31.8 MI","48.2","","31.8 MI, ROUTE 27, MEDFIELD","","",""
"31CS","Outlet Milford Pond","Milford","CRWA","Charles River Watershed Association",1,4,"42.1475","-71.5137","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Outlet of Milford Pond,below Huckleberry Brook","","",""
"343S","Farm Rd./Bridge St.","Dover/Sherborn","CRWA","Charles River Watershed Association",1,4,"42.2326","-71.3303","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010604","MA72-05_2002","","34.3 MI","45.7","","34.3 MI, FARM ROAD, SHERBORN","","",""
"348A","Center channel","Boston","CRWA","Charles River Watershed Association",1,13,"42.3718","-71.0673","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Millers River, center channel, upstream-most access point","","",""
"34CS",,,"CRWA","Charles River Watershed Association",1,,,,,,,,,,,,,,,,,
"35C2","Central St. Left Side Discharge Pipe ","Milford","CRWA","Charles River Watershed Association",7,4,"42.1395","-71.5123","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","3.5 MI","76.5","","DISCHARGE PIPE AT CENTRAL ST ON LEFT SIDE LOOKING ","","",""
"35CD","Central St. Discharge Pipe","Milford","CRWA","Charles River Watershed Association",7,4,"42.1395","-71.5123","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","3.5 MI","76.5","","","","",""
"35CS","Central Street Bridge","Milford","CRWA","Charles River Watershed Association",1,4,"42.1395","-71.5123","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010601","MA72-02_2002","","3.5 MI","76.5","","3.5 MI, DOWNSTR FROM ECHO LAKE, CENTRAL ST., MILFO","","",""
"378S","South Natick Dam","Natick","CRWA","Charles River Watershed Association",1,4,,,,,,,,,,,,,,,,
"387S","Elm Bank / Cheney Dr. Bridge","Wellesley/Dover","CRWA","Charles River Watershed Association",1,4,"42.2757","-71.3095","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010701","MA72-06_2002","","38.7 MI","41.3","","","","",""
"393T1","Fuller / Waban Brook confluence","Wellesley","CRWA","Charles River Watershed Association",1,9,"42.2829","-71.2974","GPS- Unspecified","NAD83","01090001","0109000107","010900010701","","","","","","Fuller / Waban Brook confluence","","",""
"3BU","BU Bridge-Center","Cambridge ","CRWA","Charles River Watershed Association",1,4,"42.3526","-71.1112","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Center of BU Bridge","","",""
"3BUL","BU Bridge-Left","Cambridge ","CRWA","Charles River Watershed Association",1,4,"42.35306","-71.11127","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Left side of BU bridge near bank","","",""
"3BUR","BU Bridge-Right","Cambridge ","CRWA","Charles River Watershed Association",1,4,"42.35242","-71.11156","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Right side of BU bridge near bank","","",""
"400S","Charles River Road Bridge","Dover/Needham","CRWA","Charles River Watershed Association",1,4,"42.2693","-71.2998","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010701","MA72-06_2002","","40.0 MI","40","","40.0 MI, CHARLES RIVER ROAD, DOVER","","",""
"407S","Claybrook Rd","Dover","CRWA","Charles River Watershed Association",1,4,"42.2647","-71.2951","GPS- Unspecified","NAD83","01090001","0109000107","010900010701","","","","","","Claybrook Rd","","",""
"411T2","Trout Bk at Haven St","Dover","CRWA","Charles River Watershed Association",1,21,"42.254","-71.2933","GPS- Unspecified","NAD83","01090001","0109000107","010900010701","","","","","","Trout Bk at Haven St","","",""
"43T1","Outlet Godfrey Brook","Milford","CRWA","Charles River Watershed Association",1,10,"42.1293","-71.5181","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Outlet Godfrey Brook","","",""
"447S","USGS Dover Gage, Mill St.","Dover/Needham","CRWA","Charles River Watershed Association",1,4,"42.2563","-71.2596","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010701","MA72-06_2002","","44.7 MI","35.3","","44.7 MI, DOVER GAUGE OFF MILL ST. (USGS GAUGE), DO","","",""
"484S","Greendale Ave. / Lyons St. / Dedham Medical Center","Dedham/Needham ","CRWA","Charles River Watershed Association",1,4,"42.267","-71.205","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","48.4 MI","31.6","","48.4 MI, DEDHAM MEDCL CTR-ST. BARTHOLOMEW'S SCH, D","","",""
"48CS","Howard St below Godfrey Bk","Milford","CRWA","Charles River Watershed Association",1,4,"42.1256","-71.5089","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Howard St below Godfrey Bk","","",""
"4LONG","Longfellow Bridge-Center","Cambridge","CRWA","Charles River Watershed Association",1,4,"42.3611","-71.0758","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Center of Longfellow Bridge","","",""
"4LONGL","Longfellow Bridge-Left","Watertown","CRWA","Charles River Watershed Association",1,4,"42.36116","-71.07798","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Left side of Longfellow Bridge","","",""
"4LONGR","Longfellow Bridge-Right","Watertown","CRWA","Charles River Watershed Association",1,4,"42.36066","-71.07387","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Right side of Longfellow bridge","","",""
"521S","Ames St. Bridge","Dedham","CRWA","Charles River Watershed Association",1,4,"42.2524","-71.1763","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","52.1 MI","27.9","","52.1 MI, AMES ST BRIDGE, DEDHAM","","",""
"534S","Rt. 109 Bridge","Boston/Dedham","CRWA","Charles River Watershed Association",1,4,"42.2708","-71.1732","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","53.4 MI","26.6","","53.4 MI, ROUTE 109 BRIDGE, DEDHAM","","",""
"54CW","Milford WWTF","Milford","CRWA","Charles River Watershed Association",2,4,"42.1191","-71.5076","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Milford WWTF","","",""
"567S","Nahanton Park","Needham/Newton","CRWA","Charles River Watershed Association",1,4,"42.2971","-71.2078","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","56.7 MI","23.3","","56.7 MI, NAHANTON PARK, NEWTON","","",""
"591S","Rt. 9 Gaging Station","Newton/Wellesley","CRWA","Charles River Watershed Association",1,4,"42.3165","-71.2281","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","59.1 MI","20.9","","59.1 MI, RT 9, MILL RACE E. OF CIRCULAR DAM, NEWTO","","",""
"59CS","Mellen St. Bridge","Bellingham/Hopedale/Milford","CRWA","Charles River Watershed Association",1,4,"42.1169","-71.5014","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010601","MA72-03_2002","","5.9 MI","74.1","","5.9 MI, MELLEN STREET BRIDGE, BELLINGHAM","","",""
"609S","Washington St. Bridge","Wellesley/Newton","CRWA","Charles River Watershed Association",1,4,"42.3252","-71.2585","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","60.9 MI","19.1","","60.9 MI, WASHINGTON ST, HUNNEWELL FOOTBRIDGE","","",""
"621S","Leo J. Martin Golf Course / Park Rd.","Newton/Weston","CRWA","Charles River Watershed Association",1,4,"42.3306","-71.268","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","62.1 MI","17.9","","62.1 MI, PARK ROAD, NEAR GOLF COURSE, WESTON","","",""
"635S","2391 Commonwealth Ave.","Newton","CRWA","Charles River Watershed Association",1,4,"42.3448","-71.2599","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","63.5 MI","16.5","","63.5 MI, NEAR RTS 30 AND 128, NOREMBEGA (CRWA), NE","","",""
"648S","Auburndale Park, Lakes Region","Waltham","CRWA","Charles River Watershed Association",1,4,"42.3615","-71.2501","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","64.8 MI","15.2","","64.8 MI, LAKES DISTRICT, NORTH BAY, NEWTON","","",""
"662S","Moody St. Bridge","Waltham","CRWA","Charles River Watershed Association",1,4,"42.3732","-71.2367","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","66.2 MI","13.8","","","","",""
"675S","North St. Bridge","Newton/Waltham/Watertown","CRWA","Charles River Watershed Association",1,4,"42.3672","-71.2182","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010703","MA72-07_2002","","67.8 MI","12.2","","67.8 MI, NORTH ST BRIDGE, WALTHAM","","",""
"700S","N. Beacon St. Bridge","Brighton/Watertown","CRWA","Charles River Watershed Association",1,4,"42.3589","-71.1616","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010704","MA72-08_2002","","70.9 MI","9.1","","70.9 MI, NORTH BEACON ST BRIDGE, WATERTOWN","","",""
"715S","Arsenal St. Bridge","Brighton/Watertown","CRWA","Charles River Watershed Association",1,4,"42.3616","-71.1473","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010704","MA72-08_2002","","71.5 MI","8.5","","71.5 MI, ARSENAL ST BRIDGE, WATERTOWN","","",""
"729S","Eliot St. Bridge","Boston/Cambridge","CRWA","Charles River Watershed Association",1,4,"42.3716","-71.1328","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010704","MA72-08_2002","","72.9 MI","7.1","","72.9 MI, ELIOT ST BRIDGE, CAMBRIDGE","","",""
"743S","Western Ave. Bridge","Boston/Cambridge","CRWA","Charles River Watershed Association",1,4,"42.3642","-71.1168","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010704","MA72-08_2002","","74.3 MI","5.7","","74.3 MI, WESTERN AVENUE BRIDGE, CAMBRIDGE","","",""
"760T","Muddy River at Commonwealth Ave.","Boston","CRWA","Charles River Watershed Association",1,16,"42.3487","-71.0918","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010704","MA72-11_2002","","","","","MUDDY RIVER AT COMMONWEALTH AVE., BOSTON","","760S","CRWA"
"763S","Massachusetts Ave. (Harvard) Bridge","Boston/Cambridge","CRWA","Charles River Watershed Association",1,4,"42.3544","-71.0914","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010704","MA72-08_2002","","76.3 MI","3.7","","76.3 MI, MASSACHUSETTS AVE. AT HARVARD BRIDGE, BOS","","",""
"773S","Longfellow Bridge","Cambridge","CRWA","Charles River Watershed Association",1,4,"42.3614","-71.0754","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010704","MA72-08_2002","","77.3 MI","2.7","","77.3 MI, LONGFELLOW BRIDGE, BOSTON","","",""
"784S","New Charles River Dam","Boston","CRWA","Charles River Watershed Association",1,4,"42.369","-71.0617","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000107","010900010704","MA72-31_2002","","78.4 MI","1.6","","78.4 MI, NEW CHARLES RIVER DAM, BOSTON","","",""
"86CS","Depot Rd","Bellingham","CRWA","Charles River Watershed Association",1,4,"42.094","-71.4821","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","","","","Depot Rd, above Beaver Brook, just below 85CS","","",""
"90CS","Rt. 126, N. Main St.","Bellingham","CRWA","Charles River Watershed Association",1,4,"42.0943","-71.476","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000106","010900010601","MA72-04_2002","","9.0 MI","71","","9.0 MI, RTE. 126 BR., BELLINGHAM","","",""
"BEA_OUT1","Beaver Brook Reservation Runyon Brook outfall ","Waltham","CRWA","Charles River Watershed Association",1,1,"42.38888","-71.19861","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, Runyon Brook outfall in Beaver Brook Reservation","wading or pole","",""
"BEA_OUT2","Beaver Brook Reservation Outfall 1","Waltham","CRWA","Charles River Watershed Association",3,1,"42.38777","-71.195","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Outfall pipe in Beaver Brook Reservation","wading or pole","",""
"BEA_OUT3","Beaver Brook Reservation Outfall 2","Waltham","CRWA","Charles River Watershed Association",3,1,"42.38666","-71.19444","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Outfall pipe in Beaver Brook Reservation","wading or pole","",""
"BEA_OUT4","Beaver Brook Reservation Outfall 3","Waltham","CRWA","Charles River Watershed Association",3,1,"42.38416","-71.20277","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Outfall pipe into wetlands, accessed from Beaver St.","wading or pole","",""
"BEA_OUT5","Waverly Oaks Road Outfall","Waltham","CRWA","Charles River Watershed Association",3,1,"42.38138","-71.21388","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Outfall alongside Waverly Oaks Road","wading or pole","",""
"BEA_OUT6","Lotus Parking Lot outfall","Waltham","CRWA","Charles River Watershed Association",3,1,"42.37916","-71.22222","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Outfall pipe, DS of Waverly Oaks Road, from Lotus Parking Lot","wading or pole","",""
"BEA_OUT7","US Beaver Brook discharge","Waltham","CRWA","Charles River Watershed Association",3,1,"42.37277","-71.22833","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Outfall into Charles River, US of Beaver Brook discharge","wading or pole","",""
"BEA1","Concord St.","Waltham","CRWA","Charles River Watershed Association",1,1,"42.41861","-71.23611","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, accessed from LB, DS of road, off Concord St.","wading or pole","",""
"BEA10","East culvert DS","Waltham","CRWA","Charles River Watershed Association",1,1,"42.37277","-71.22833","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, DS of east culvert","wading or pole","",""
"BEA11","West culvert DS","Waltham","CRWA","Charles River Watershed Association",1,1,"42.37222","-71.22888","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, DS of west culvert","wading or pole","",""
"BEA12","Beaver Brook DS","Waltham","CRWA","Charles River Watershed Association",1,1,"42.3725","-71.22833","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Charles River sample, DS of Beaver Brook discharge, RB","wading or pole","",""
"BEA2","Pleasant St.","Waltham","CRWA","Charles River Watershed Association",1,1,"42.41861","-71.21416","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, US of road, off Pleasant St.","wading or pole","",""
"BEA3","Brookside Ave.","Waltham","CRWA","Charles River Watershed Association",1,1,"42.39694","-71.19888","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, DS of Brookside Ave.","wading or pole","",""
"BEA4","Beaver Brook Reservation ","Waltham","CRWA","Charles River Watershed Association",1,1,"42.39027","-71.19666","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, DS of Trapelo St., Beaver Brook Reservation ","wading or pole","",""
"BEA5","Beaver St.","Waltham","CRWA","Charles River Watershed Association",1,1,"42.38277","-71.20777","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, US of road, LB, off Beaver St.","wading or pole","",""
"BEA6","Waverly Oaks Road river sample","Waltham","CRWA","Charles River Watershed Association",1,1,"42.38055","-71.21972","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, RB, US of bridge, off Waverly Oaks Road","wading or pole","",""
"BEA7","Lyman Pond DS","Waltham","CRWA","Charles River Watershed Association",1,1,"42.38055","-71.2225","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, DS of Lyman Pond","wading or pole","",""
"BEA8","Lotus Parking Lot","Waltham","CRWA","Charles River Watershed Association",1,1,"42.37916","-71.2225","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, DS of Waverly Oaks Road, from Lotus Parking Lot","wading or pole","",""
"BEA9","Beaver Brook sample","Waltham","CRWA","Charles River Watershed Association",1,1,"42.37805","-71.2225","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, US of where stream goes below ground","wading or pole","",""
"Bogastow ","Bogastow Brook","Millis","CRWA","Charles River Watershed Association",1,2,"42.1907","-71.3717","GPS- Unspecified","NAD83","01090001","0109000106","010900010603","","","30.7","48.2","","Two round pipe culverts and riffle DS","","",""
"BROAD","CRCK Kendall Sq on Broad Canal","Cambridge","CRWA","Charles River Watershed Association",1,4,"42.36293","-71.08182","GPS- Unspecified","NAD83",,,,,,,,,,"Cyanobacteria monitoring",,
"C2S1","Woerd Ave. SB","Waltham","CRWA","Charles River Watershed Association",6,4,"42.3633","-71.24500","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Clay, 20"" diameter","","",""
"C2S16","High Street bridge US SB","Waltham","CRWA","Charles River Watershed Association",6,4,"42.36859","-71.24340","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Cement, 3.5' diameter","","",""
"CANT1","DS of bridge by Harvard St.","Mattapan","CRWA","Charles River Watershed Association",1,3,"42.28833","-71.0925","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, DS of bridge by Harvard St., accessed from Morton St.","bucket/basket","-",""
"CANT2","Morton St. ","Mattapan","CRWA","Charles River Watershed Association",1,3,"42.29","-71.095","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, DS of culvert, west of Morton St., accessed from Fox Trail at Boston Nature Center.","wading or basket","HEAD",""
"CANT3","Boston Composting Site","Mattapan","CRWA","Charles River Watershed Association",3,3,"42.29","-71.09666","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Storm outfall on RB, US of Boston Composting Site; accessed from Fox Trail at Boston Nature Center.","wading","TRIB",""
"CANT4","River sample across from broken concrete pipe ","Mattapan","CRWA","Charles River Watershed Association",1,3,"42.28972","-71.09888","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, opposite from a broken concrete pipe located on LB, accessed from Fox trail at Boston Nature Center.","wading","PIPE",""
"CANT5","St. Michael Cemetery bridge US ","Mattapan","CRWA","Charles River Watershed Association",1,3,"42.28972","-71.105","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, US from bridge at St. Michael Cemetery that leads to Cemetery Office; US from cem_pipe.","wading","CEMETARY",""
"CANT6","St. Michael Cemetery bridge Outfall US","Mattapan","CRWA","Charles River Watershed Association",3,3,"42.28972","-71.105","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Storm outfall on RB, just US from bridge at St. Michael Cemetery that leads to Cemetery Office.","wading","CEM_PIPE",""
"CANT7","Scrub-a-Dub car wash","Mattapan","CRWA","Charles River Watershed Association",1,3,"42.28833","-71.10777","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, US from culvert at Scrub-a-Dub car wash.","bucket/basket","SCRUB",""
"CB","Community Boating","Boston","CRWA","Charles River Watershed Association",1,4,"42.35901","-71.0731","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Community boating near dock. Back left corner.","","",""
